Date,Open,High,Low,Close,Adj Close,Volume,,,Max,,Open,High,Low,Close,,,Close,Error,,Close,Error,,Close,Error,,Close,Error
3/1/2017,28.530001,28.98,28.41,28.719999,28.719999,1920500,,,33.15,,0.860633514,0.874208145,0.857013575,0.866364977,,,0.8926231,0.000262581,,0.88868193,0.00022317,,0.88750742,0.000211424,,0.88277696,0.00016412
4/1/2017,28.799999,28.799999,28.059999,28.209999,28.209999,855100,,,33.15,,0.86877825,0.86877825,0.846455475,0.850980362,,,0.89609591,0.000451155,,0.89818071,0.000472003,,0.88463778,0.000336574,,0.87793338,0.00026953
5/1/2017,28.120001,28.24,27.530001,27.68,27.68,632500,,,33.15,,0.84826549,0.85188537,0.830467602,0.834992459,,,0.89587642,0.00060884,,0.89266181,0.000576694,,0.87858731,0.000435949,,0.86924945,0.00034257
6/1/2017,27.83,27.83,27.370001,27.49,27.49,450900,,,33.15,,0.839517345,0.839517345,0.825641056,0.829260935,,,0.89751433,0.000682534,,0.89270398,0.00063443,,0.87453458,0.000452736,,0.86325022,0.000339893
9/1/2017,27.379999,27.469999,27.209999,27.360001,27.360001,456400,,,33.15,,0.825942655,0.828657587,0.820814449,0.825339397,,,0.8974454,0.00072106,,0.88828785,0.000629485,,0.8707468,0.000454074,,0.85774362,0.000324042
10/1/2017,27.43,28.01,27.33,27.98,27.98,822700,,,33.15,,0.82745098,0.84494721,0.824434389,0.844042232,,,0.89267287,0.000486306,,0.88052406,0.000364818,,0.8758792,0.00031837,,0.86580632,0.000217641
11/1/2017,27.799999,28.77,27.77,28.6,28.6,1899500,,,33.15,,0.838612338,0.867873303,0.837707391,0.862745098,,,0.88838162,0.000256365,,0.87576259,0.000130175,,0.88387966,0.000211346,,0.87787286,0.000151278
12/1/2017,28.799999,28.799999,27.92,28.540001,28.540001,792000,,,33.15,,0.86877825,0.86877825,0.842232278,0.860935173,,,0.89593643,0.000350013,,0.89842647,0.000374913,,0.88419747,0.000232623,,0.87716044,0.000162253
13-01-2017,28.65,28.855,28.5,28.77,28.77,473000,,,33.15,,0.864253394,0.870437406,0.859728507,0.867873303,,,0.89490117,0.000270279,,0.89324497,0.000253717,,0.8866379,0.000187646,,0.88142761,0.000135543
17-01-2017,28.799999,28.799999,28.42,28.67,28.67,368900,,,33.15,,0.86877825,0.86877825,0.857315234,0.864856712,,,0.89650014,0.000316434,,0.89753874,0.00032682,,0.88575855,0.000209018,,0.87990306,0.000150463
18-01-2017,28.629999,29.299999,28.58,29.01,29.01,915700,,,33.15,,0.863650045,0.883861207,0.86214178,0.875113122,,,0.89031908,0.00015206,,0.88539139,0.000102783,,0.89058325,0.000154701,,0.88731712,0.00012204
19-01-2017,29.049999,29.360001,28.66,28.799999,28.799999,369600,,,33.15,,0.876319729,0.885671222,0.864555053,0.86877825,,,0.89304065,0.000242624,,0.89396827,0.0002519,,0.89088884,0.000221106,,0.88733919,0.000185609
20-01-2017,28.9,29.629999,28.9,29.450001,29.450001,483800,,,33.15,,0.871794872,0.893815958,0.871794872,0.888386154,,,0.88936228,9.76E-06,,0.88558506,2.80E-05,,0.89396505,5.58E-05,,0.89216329,3.78E-05
23-01-2017,29.1,29.809999,28.75,29.450001,29.450001,904400,,,33.15,,0.877828054,0.899245822,0.867269985,0.888386154,,,0.8889041,5.18E-06,,0.88762352,7.63E-06,,0.8947526,6.37E-05,,0.89295304,4.57E-05
24-01-2017,29.5,30.09,29.5,30,30,930900,,,33.15,,0.889894419,0.907692308,0.889894419,0.904977376,,,0.88989006,0.000150873,,0.89067884,0.000142985,,0.89855266,6.42E-05,,0.89853589,6.44E-05
25-01-2017,30.219999,30.92,30.200001,30.91,30.91,1005700,,,33.15,,0.911613846,0.932730015,0.911010588,0.932428356,,,0.88750463,0.000449237,,0.89190283,0.000405255,,0.9055428,0.000268856,,0.90807401,0.000243543
26-01-2017,31.02,31.059999,30.530001,30.6,30.6,497100,,,33.15,,0.935746606,0.936953213,0.920965339,0.923076923,,,0.89261258,0.000304643,,0.90626097,0.00016816,,0.90548483,0.000175921,,0.90746813,0.000156088
27-01-2017,30.549999,30.74,30.219999,30.459999,30.459999,263800,,,33.15,,0.921568597,0.927300151,0.911613846,0.918853665,,,0.89200707,0.000268466,,0.90198573,0.000168679,,0.90343916,0.000154145,,0.90487616,0.000139775
30-01-2017,30.27,30.27,29.629999,29.879999,29.879999,501000,,,33.15,,0.913122172,0.913122172,0.893815958,0.901357436,,,0.89413587,7.22E-05,,0.90437624,3.02E-05,,0.89884956,2.51E-05,,0.89820442,3.15E-05
31-01-2017,29.9,30.16,29.42,29.82,29.82,454200,,,33.15,,0.901960784,0.909803922,0.887481146,0.899547511,,,0.89220105,7.35E-05,,0.89865976,8.88E-06,,0.8981966,1.35E-05,,0.89749833,2.05E-05
1/2/2017,29.049999,29.379999,28.65,29.120001,29.120001,5677800,,,33.15,,0.876319729,0.88627448,0.864253394,0.878431403,,,0.89282664,0.000143952,,0.89367274,0.000152413,,0.89102455,0.000125931,,0.88752793,9.10E-05
2/2/2017,29.139999,29.450001,28.73,28.73,28.73,1554300,,,33.15,,0.879034661,0.888386154,0.866666667,0.866666667,,,0.89289299,0.000262263,,0.89442439,0.000277577,,0.8917224,0.000250557,,0.8885038,0.000218371
3/2/2017,29.07,29.190001,28.68,29.17,29.17,1361300,,,33.15,,0.876923077,0.880543017,0.865158371,0.879939668,,,0.89493455,0.000149949,,0.89700652,0.000170669,,0.88950481,9.57E-05,,0.88532193,5.38E-05
6/2/2017,29.129999,29.17,28.469999,28.59,28.59,1076800,,,33.15,,0.878733002,0.879939668,0.858823499,0.862443439,,,0.89536492,0.000329215,,0.89899276,0.000365493,,0.88862934,0.000261859,,0.88378038,0.000213369
7/2/2017,28.73,28.92,28.549999,28.780001,28.780001,1153900,,,33.15,,0.866666667,0.87239819,0.861236772,0.868174992,,,0.89491387,0.000267389,,0.8939246,0.000257496,,0.88725719,0.000190822,,0.88229521,0.000141202
8/2/2017,28.68,28.889999,28.33,28.790001,28.790001,837300,,,33.15,,0.865158371,0.871493183,0.854600302,0.868476652,,,0.89459019,0.000261135,,0.89369075,0.000252141,,0.88637254,0.000178959,,0.88086904,0.000123924
9/2/2017,28.809999,29.120001,28.684999,28.92,28.92,751400,,,33.15,,0.86907991,0.878431403,0.86530917,0.87239819,,,0.89365736,0.000212592,,0.89231506,0.000199169,,0.88925642,0.000168582,,0.88525057,0.000128524
10/2/2017,28.959999,29.43,28.791,29.33,29.33,1292500,,,33.15,,0.873604796,0.887782805,0.868506787,0.884766214,,,0.89177237,7.01E-05,,0.89054587,5.78E-05,,0.89196074,7.19E-05,,0.88910872,4.34E-05
13-02-2017,29.59,29.799999,29.424999,29.58,29.58,688700,,,33.15,,0.892609351,0.898944163,0.887631946,0.892307692,,,0.89350746,1.20E-05,,0.89749606,5.19E-05,,0.89585642,3.55E-05,,0.89457435,2.27E-05
14-02-2017,29.85,29.950001,29.485001,29.66,29.66,781800,,,33.15,,0.900452489,0.90346911,0.889441961,0.894720965,,,0.89403565,6.85E-06,,0.90066738,5.95E-05,,0.89675313,2.03E-05,,0.89561036,8.89E-06
